ID,Name,Height,Image,Category,Source
128,Ice Cube,173,https://www.celebheights.com/tr/i/icecube.jpg,"[Acting,Music]",[Celeb Heights]
129,Shakira,156,https://www.celebheights.com/tr/s/shakira.jpg,[Music],[Celeb Heights]
130,Gordon Ramsay,185,https://www.celebheights.com/tr/g/gordonramsay.jpg,"[Acting,Influencers]",[Celeb Heights]
131,Mr. T,179,https://www.celebheights.com/tr/m/mrt.jpg,[Acting],[Celeb Heights]
132,Ben Stiller,168,https://www.celebheights.com/tr/b/benstiller.jpg,"[Acting,Comedy]",[Celeb Heights]
133,Ozzy Osbourne,177,https://www.celebheights.com/tr/o/ozzyosbourne.jpg,[Music],[Celeb Heights]
134,Bruno Mars,163,https://www.celebheights.com/tr/b/brunomars.jpg,[Music],[Celeb Heights]
136,Will Ferrell,191,https://www.celebheights.com/tr/w/willferrell.jpg,"[Acting,Comedy]",[Celeb Heights]
138,Jack Black,168,https://www.celebheights.com/tr/j/jackblack.jpg,"[Music,Influencers,Acting]",[Celeb Heights]
139,Ryan Gosling,184,https://www.celebheights.com/tr/r/ryangosling.jpg,[Acting],[Celeb Heights]
140,Hugh Grant,180,https://www.celebheights.com/tr/h/hughgrant.jpg,[Acting],[Celeb Heights]
141,Emma Stone,168,https://www.celebheights.com/tr/e/emmastone.jpg,[Acting],[Celeb Heights]
142,Ariana Grande,154,https://www.celebheights.com/tr/a/arianagrande.jpg,"[Music,Acting]",[Celeb Heights]
143,Howie Mandel,176,https://www.celebheights.com/tr/h/howiemandel.jpg,"[Acting,Comedy]",[Celeb Heights]
144,Tom Brady,194,https://www.celebheights.com/tr/t/tombrady.jpg,[Sports],[Celeb Heights]
145,Nicki Minaj,157,https://www.celebheights.com/tr/n/nickiminaj.jpg,[Music],[Celeb Heights]
146,Ryan Reynolds,188,https://www.celebheights.com/tr/r/ryanreynolds.jpg,[Acting],[Celeb Heights]
147,Conan O’Brien,193,https://www.celebheights.com/tr/c/conanobrien.jpg,"[Acting,Comedy]",[Celeb Heights]
148,Emma Watson,164,https://www.celebheights.com/tr/e/emmawatson.jpg,[Acting],[Celeb Heights]
149,Steve Carell,175,https://www.celebheights.com/tr/s/stevecarell.jpg,"[Acting,Comedy]",[Celeb Heights]
151,Billie Eilish,160,https://www.celebheights.com/tr/b/billieeilish.jpg,[Music],[Celeb Heights]
153,John Cena,184,https://www.celebheights.com/tr/j/johncena.jpg,"[Acting,Sports]",[Celeb Heights]
154,Chris Pratt,187,https://www.celebheights.com/tr/c/chrispratt.jpg,[Acting],[Celeb Heights]
155,Tom Holland,169,https://www.celebheights.com/tr/t/tomholland.jpg,[Acting],[Celeb Heights]
156,Zendaya,174,https://www.celebheights.com/tr/z/zendaya.jpg,[Acting],[Celeb Heights]
157,Miley Cyrus,164,https://www.celebheights.com/tr/m/mileycyrus.jpg,[Music],[Celeb Heights]
159,Serena Williams,175,https://www.celebheights.com/tr/s/serenawilliams.jpg,[Sports],[Celeb Heights]
162,Stephen King,191,https://www.celebheights.com/tr/s/stephenking.jpg,[Writers],[Celeb Heights]
166,Neil deGrasse Tyson,188,https://www.celebheights.com/tr/n/neildegrassetyson.jpg,"[Scientists,Influencers]",[Celeb Heights]
168,Cristiano Ronaldo,185,https://www.celebheights.com/tr/c/cristianoronaldo.jpg,[Sports],[Celeb Heights]
