ID,Name,Height,Image,Category,Source
121,Mark Zuckerberg,171.0,https://www.celebheights.com/tr/m/markzuckerberg.jpg,"[Tech,Wealth]",[Celeb Heights]
122,Chris Rock,178.0,https://www.celebheights.com/tr/c/chrisrock.jpg,"[Acting,Comedy]",[Celeb Heights]
123,Vladimir Putin,169.0,https://www.celebheights.com/tr/v/vladimirputin.jpg,[Politics],[Celeb Heights]
124,Jimmy Kimmel,181.0,https://www.celebheights.com/tr/j/jimmykimmel.jpg,"[Acting,Comedy]",[Celeb Heights]
125,Bernie Sanders,183.0,https://www.celebheights.com/tr/b/berniesanders.jpg,[Politics],[Celeb Heights]
126,Stevie Wonder,183.0,https://www.celebheights.com/tr/s/steviewonder.jpg,[Music],[Celeb Heights]
127,George W. Bush,180.0,https://www.celebheights.com/tr/g/georgewbush.jpg,[Presidents],[Celeb Heights]
128,Ice Cube,173.0,https://www.celebheights.com/tr/i/icecube.jpg,"[Acting,Music]",[Celeb Heights]
129,Shakira,156.0,https://www.celebheights.com/tr/s/shakira.jpg,[Music],[Celeb Heights]
130,Gordon Ramsay,185.0,https://www.celebheights.com/tr/g/gordonramsay.jpg,"[Acting,Influencers]",[Celeb Heights]
131,Mr. T,179.0,https://www.celebheights.com/tr/m/mrt.jpg,[Acting],[Celeb Heights]
132,Ben Stiller,168.0,https://www.celebheights.com/tr/b/benstiller.jpg,"[Acting,Comedy]",[Celeb Heights]
133,Ozzy Osbourne,177.0,https://www.celebheights.com/tr/o/ozzyosbourne.jpg,[Music],[Celeb Heights]
134,Bruno Mars,163.0,https://www.celebheights.com/tr/b/brunomars.jpg,[Music],[Celeb Heights]
135,Larry King,175.0,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/LarryKingSept10_%28cropped%29.jpg/250px-LarryKingSept10_%28cropped%29.jpg,[Acting],[IMDb]
136,Will Ferrell,191.0,https://www.celebheights.com/tr/w/willferrell.jpg,"[Acting,Comedy]",[Celeb Heights]
137,Usher Raymond,173.0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Usher_OMG_Houston.jpg/640px-Usher_OMG_Houston.jpg,[Music],[Celeb Heights]
138,Jack Black,168.0,https://www.celebheights.com/tr/j/jackblack.jpg,"[Music,Influencers,Acting]",[Celeb Heights]
139,Ryan Gosling,184.0,https://www.celebheights.com/tr/r/ryangosling.jpg,[Acting],[Celeb Heights]
140,Hugh Grant,180.0,https://www.celebheights.com/tr/h/hughgrant.jpg,[Acting],[Celeb Heights]
141,Emma Stone,168.0,https://www.celebheights.com/tr/e/emmastone.jpg,[Acting],[Celeb Heights]
142,Ariana Grande,154.0,https://www.celebheights.com/tr/a/arianagrande.jpg,"[Music,Acting]",[Celeb Heights]
143,Howie Mandel,176.0,https://www.celebheights.com/tr/h/howiemandel.jpg,"[Acting,Comedy]",[Celeb Heights]
144,Tom Brady,194.0,https://www.celebheights.com/tr/t/tombrady.jpg,[Sports],[Celeb Heights]
145,Nicki Minaj,157.0,https://www.celebheights.com/tr/n/nickiminaj.jpg,[Music],[Celeb Heights]
146,Ryan Reynolds,188.0,https://www.celebheights.com/tr/r/ryanreynolds.jpg,[Acting],[Celeb Heights]
147,Conan O'Brien,193.0,https://www.celebheights.com/tr/c/conanobrien.jpg,"[Acting,Comedy]",[Celeb Heights]
148,Emma Watson,164.0,https://www.celebheights.com/tr/e/emmawatson.jpg,[Acting],[Celeb Heights]
149,Steve Carell,175.0,https://www.celebheights.com/tr/s/stevecarell.jpg,"[Acting,Comedy]",[Celeb Heights]
